master_path_version,master_path_id,rr_config_id,config,config_label,sequence_number,event_group_id,configuration_alternative_group_id,status,record_type,session_date,entry_time,exit_time,direction,exit_reason,effective_exit_reason,pnl_points,raw_stop_points,effective_stop_points,target_points,mae_points,mfe_points,source_trade_packet_id,source_type,evidence_status,excursion_confidence,mutually_exclusive_config_alternative,path_id,was_executed,candidate_pnl_points,executed_pnl_points,timestamp_policy,holding_duration_minutes,rolling_pf_before,gate_state_before,source_ledger_id,source_session_date,source_month,source_entry_time,source_exit_time,source_exit_reason,master_seed,mc_seed,prefix_application_basis,pf_scenario,regime_scenario,point_scale_scenario,strict_barrier_status,geometry_policy,min_effective_stop_points,max_effective_stop_points,min_abs_nonzero_pnl_points,expectancy_tilt,expected_weighted_source_pf,realized_prefix_net_points,forward_only_net_points,combined_net_points,cumulative_realized_points,cumulative_forward_only_points,cumulative_combined_points
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,1,REALIZED_SIGNAL_2026_07_07,CURRENT_REALIZED_RR_ALTERNATIVES,REALIZED,EXECUTED_TRADE,2026-07-07,,,,TP,TP,150.0,,,,,,,USER_CONFIRMED,USER_CONFIRMED_REALIZED_OUTCOME,UNKNOWN_USER_CONFIRMED,True,0,True,150.0,150.0,USER_CONFIRMED_DATE_ONLY,,,CONFIRMED_REALIZED_EXECUTED,,,,,,,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,UNKNOWN,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,150.0,0.0,150.0
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,2,REALIZED_SIGNAL_2026_07_08,CURRENT_REALIZED_RR_ALTERNATIVES,REALIZED,EXECUTED_TRADE,2026-07-08,,,,SL,SL,-200.0,,,,,,,USER_CONFIRMED,USER_CONFIRMED_REALIZED_OUTCOME,UNKNOWN_USER_CONFIRMED,True,0,True,-200.0,-200.0,USER_CONFIRMED_DATE_ONLY,,,CONFIRMED_REALIZED_EXECUTED,,,,,,,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,UNKNOWN,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,0.0,-50.0
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,3,SYNTHETIC_PATH_00000_SEQ_003,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-07-09,2026-07-09T12:51:00+00:00,2026-07-09T13:38:00+00:00,long,BE,BE,0.0,123.75,123.75,123.75,92.77912428221134,38.47087571778866,1rr|build_years|647_lower|2020-07-14 08:51:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,0.0,0.0,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,47.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2020-07-14,7,2020-07-14 08:51:00-04:00,2020-07-14 09:38:00-04:00,BE,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,0.0,-50.0
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,4,SYNTHETIC_PATH_00000_SEQ_004,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-07-10,2026-07-10T12:51:00+00:00,2026-07-10T13:38:00+00:00,long,BE,BE,0.0,123.75,123.75,123.75,92.77912428221134,38.47087571778866,1rr|build_years|647_lower|2020-07-14 08:51:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,0.0,0.0,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,47.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2020-07-14,7,2020-07-14 08:51:00-04:00,2020-07-14 09:38:00-04:00,BE,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,0.0,-50.0
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,5,SYNTHETIC_PATH_00000_SEQ_005,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-07-13,2026-07-13T13:52:00+00:00,2026-07-13T17:54:00+00:00,long,TP,TP,200.0,200.0,200.0,200.0,57.952043158331435,200.79795684166857,1rr|build_years|646_lower|2020-07-14 09:52:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,200.0,200.0,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,242.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2020-07-14,7,2020-07-14 09:52:00-04:00,2020-07-14 13:54:00-04:00,TP,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,200.0,150.0
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,6,SYNTHETIC_PATH_00000_SEQ_006,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-07-14,2026-07-14T09:11:00+00:00,2026-07-14T10:00:00+00:00,long,BE,BE,0.0,102.375,102.375,102.375,16.81777214731119,19.93222785268881,1rr|build_years|651_lower|2020-07-16 05:11:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,0.0,0.0,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,49.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2020-07-16,7,2020-07-16 05:11:00-04:00,2020-07-16 06:00:00-04:00,BE,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,200.0,150.0
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,7,SYNTHETIC_PATH_00000_SEQ_007,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-07-15,2026-07-14T23:06:00+00:00,2026-07-15T08:24:00+00:00,short,TP,TP,154.5,154.5,154.5,154.5,19.421619046419437,158.07838095358056,1rr|validation|1158_upper|2022-07-04 19:06:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,154.5,154.5,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,558.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,validation,2022-07-05,7,2022-07-04 19:06:00-04:00,2022-07-05 04:24:00-04:00,TP,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,354.5,304.5
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,8,SYNTHETIC_PATH_00000_SEQ_008,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-07-16,2026-07-15T23:06:00+00:00,2026-07-16T08:24:00+00:00,short,TP,TP,154.5,154.5,154.5,154.5,19.421619046419437,158.07838095358056,1rr|validation|1158_upper|2022-07-04 19:06:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,154.5,154.5,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,558.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,validation,2022-07-05,7,2022-07-04 19:06:00-04:00,2022-07-05 04:24:00-04:00,TP,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,509.0,459.0
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,9,SYNTHETIC_PATH_00000_SEQ_009,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-07-17,2026-07-17T13:52:00+00:00,2026-07-17T17:54:00+00:00,long,TP,TP,200.0,200.0,200.0,200.0,57.952043158331435,200.79795684166857,1rr|build_years|646_lower|2020-07-14 09:52:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,200.0,200.0,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,242.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2020-07-14,7,2020-07-14 09:52:00-04:00,2020-07-14 13:54:00-04:00,TP,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,709.0,659.0
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,10,SYNTHETIC_PATH_00000_SEQ_010,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-07-20,2026-07-20T12:51:00+00:00,2026-07-20T13:38:00+00:00,long,BE,BE,0.0,123.75,123.75,123.75,92.77912428221134,38.47087571778866,1rr|build_years|647_lower|2020-07-14 08:51:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,0.0,0.0,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,47.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2020-07-14,7,2020-07-14 08:51:00-04:00,2020-07-14 09:38:00-04:00,BE,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,709.0,659.0
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,11,SYNTHETIC_PATH_00000_SEQ_011,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-03,2026-08-03T08:24:00+00:00,2026-08-03T17:26:00+00:00,short,SL,SL,-120.75,120.75,120.75,120.75,124.16980871916348,34.830191280836516,1rr|build_years|1449_upper|2023-08-21 04:24:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,-120.75,-120.75,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,542.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2023-08-21,8,2023-08-21 04:24:00-04:00,2023-08-21 13:26:00-04:00,SL,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,588.25,538.25
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,12,SYNTHETIC_PATH_00000_SEQ_012,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-04,2026-08-04T07:31:00+00:00,2026-08-04T08:44:00+00:00,long,BE,BE,0.0,100.875,100.875,100.875,19.597887679556152,43.65211232044385,1rr|build_years|1430_lower|2023-08-03 03:31:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,0.0,0.0,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,73.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2023-08-03,8,2023-08-03 03:31:00-04:00,2023-08-03 04:44:00-04:00,BE,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,588.25,538.25
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,13,SYNTHETIC_PATH_00000_SEQ_013,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-05,2026-08-05T13:03:00+00:00,2026-08-05T14:02:00+00:00,short,TP,TP,118.125,118.125,118.125,118.125,50.556116700368875,168.94388329963112,1rr|validation|1194_upper|2022-08-26 09:03:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,118.125,118.125,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,59.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,validation,2022-08-26,8,2022-08-26 09:03:00-04:00,2022-08-26 10:02:00-04:00,TP,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,706.375,656.375
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,14,SYNTHETIC_PATH_00000_SEQ_014,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-06,2026-08-06T13:03:00+00:00,2026-08-06T14:02:00+00:00,short,TP,TP,118.125,118.125,118.125,118.125,50.556116700368875,168.94388329963112,1rr|validation|1194_upper|2022-08-26 09:03:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,118.125,118.125,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,59.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,validation,2022-08-26,8,2022-08-26 09:03:00-04:00,2022-08-26 10:02:00-04:00,TP,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,824.5,774.5
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,15,SYNTHETIC_PATH_00000_SEQ_015,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-07,2026-08-07T13:03:00+00:00,2026-08-07T14:02:00+00:00,short,TP,TP,118.125,118.125,118.125,118.125,50.556116700368875,168.94388329963112,1rr|validation|1194_upper|2022-08-26 09:03:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,118.125,118.125,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,59.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,validation,2022-08-26,8,2022-08-26 09:03:00-04:00,2022-08-26 10:02:00-04:00,TP,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,942.625,892.625
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,16,SYNTHETIC_PATH_00000_SEQ_016,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-10,2026-08-10T08:24:00+00:00,2026-08-10T17:26:00+00:00,short,SL,SL,-120.75,120.75,120.75,120.75,124.16980871916348,34.830191280836516,1rr|build_years|1449_upper|2023-08-21 04:24:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,-120.75,-120.75,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,542.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2023-08-21,8,2023-08-21 04:24:00-04:00,2023-08-21 13:26:00-04:00,SL,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,821.875,771.875
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,17,SYNTHETIC_PATH_00000_SEQ_017,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-11,2026-08-11T07:31:00+00:00,2026-08-11T08:44:00+00:00,long,BE,BE,0.0,100.875,100.875,100.875,19.597887679556152,43.65211232044385,1rr|build_years|1430_lower|2023-08-03 03:31:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,0.0,0.0,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,73.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2023-08-03,8,2023-08-03 03:31:00-04:00,2023-08-03 04:44:00-04:00,BE,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,821.875,771.875
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,18,SYNTHETIC_PATH_00000_SEQ_018,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-12,2026-08-12T08:24:00+00:00,2026-08-12T17:26:00+00:00,short,SL,SL,-120.75,120.75,120.75,120.75,124.16980871916348,34.830191280836516,1rr|build_years|1449_upper|2023-08-21 04:24:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,-120.75,-120.75,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,542.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2023-08-21,8,2023-08-21 04:24:00-04:00,2023-08-21 13:26:00-04:00,SL,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,701.125,651.125
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,19,SYNTHETIC_PATH_00000_SEQ_019,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-13,2026-08-13T13:03:00+00:00,2026-08-13T14:02:00+00:00,short,TP,TP,118.125,118.125,118.125,118.125,50.556116700368875,168.94388329963112,1rr|validation|1194_upper|2022-08-26 09:03:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,118.125,118.125,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,59.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,validation,2022-08-26,8,2022-08-26 09:03:00-04:00,2022-08-26 10:02:00-04:00,TP,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,819.25,769.25
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,20,SYNTHETIC_PATH_00000_SEQ_020,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-14,2026-08-14T07:31:00+00:00,2026-08-14T08:44:00+00:00,long,BE,BE,0.0,100.875,100.875,100.875,19.597887679556152,43.65211232044385,1rr|build_years|1430_lower|2023-08-03 03:31:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,0.0,0.0,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,73.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,build_years,2023-08-03,8,2023-08-03 03:31:00-04:00,2023-08-03 04:44:00-04:00,BE,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,819.25,769.25
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,21,SYNTHETIC_PATH_00000_SEQ_021,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-17,2026-08-17T13:03:00+00:00,2026-08-17T14:02:00+00:00,short,TP,TP,118.125,118.125,118.125,118.125,50.556116700368875,168.94388329963112,1rr|validation|1194_upper|2022-08-26 09:03:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,118.125,118.125,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,59.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,validation,2022-08-26,8,2022-08-26 09:03:00-04:00,2022-08-26 10:02:00-04:00,TP,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,937.375,887.375
2026-07-08.v1,JULY_AUGUST_REALIZED_PREFIX,1rr,operational_100r,OG_OPERATIONAL_100R,22,SYNTHETIC_PATH_00000_SEQ_022,CURRENT_REALIZED_RR_ALTERNATIVES,SYNTHETIC,HISTORICAL_PACKET,2026-08-18,2026-08-18T13:03:00+00:00,2026-08-18T14:02:00+00:00,short,TP,TP,118.125,118.125,118.125,118.125,50.556116700368875,168.94388329963112,1rr|validation|1194_upper|2022-08-26 09:03:00-04:00,HISTORICAL_FORWARD_PACKET,SOURCE_VERIFIED,EXACT_SOURCE_VERIFIED,True,0,True,118.125,118.125,SYNTHETIC_SHIFTED_SOURCE_TIME_OF_DAY,59.0,,GATING_DISABLED_FLAT_ROWS_EXCLUDED,validation,2022-08-26,8,2022-08-26 09:03:00-04:00,2022-08-26 10:02:00-04:00,TP,1729,1730,ACCOUNT_STATE_BEFORE_PREFIX,BASE_EXPECTANCY,stable,current,AVAILABLE,FILTER_CURRENT_RANGE,100.0,200.0,100.0,0.0,3.029838870101452,-50.0,1055.5,1005.5,-50.0,1055.5,1005.5
